age_group,status,cases
0-9,active,2222
0-9,dead,0
0-9,other,0
0-9,out,859
10-19,active,3385
10-19,dead,0
10-19,other,0
10-19,out,1278
20-29,active,8966
20-29,dead,10
20-29,other,0
20-29,out,5902
30-39,active,8720
30-39,dead,26
30-39,other,0
30-39,out,5054
40-49,active,5236
40-49,dead,19
40-49,other,0
40-49,out,1978
50-59,active,3245
50-59,dead,60
50-59,other,4
50-59,out,1225
60-69,active,1669
60-69,dead,109
60-69,other,4
60-69,out,647
70-79,active,489
70-79,dead,59
70-79,other,0
70-79,out,192
80+,active,218
80+,dead,56
80+,other,0
80+,out,84
